id, foodName
1, Soy Sauce
2, Tuna
3, Asparagus
4, Lemon
5, Garlic
6, Salmon
7, Peanut
8, Tomato
9, Ginger
10, Eggplant
11, Sugar
12, Mushroom
13, Onion
14, Crab
15, Honey
